"Date","EW","MAXSER","MAXSER_ALL_Long_Only","MAXSER_H_ALL_Long_Only","SSE","SZ100","SSE50","HS300","CSI500","CYB50"
2017-05-05,-0.125011754485383,-0.052011925913758,-0.0490488639821595,-0.069131082358178,-0.0565308539312522,-0.0434537605159435,-0.0323535396665492,-0.038355200893371,-0.0813803727346697,-0.116003267334449
2017-05-08,-0.129263628054923,-0.0475586563382192,-0.0500139729702699,-0.0703055813146293,-0.0639572023417704,-0.0643319285241685,-0.0300626471942199,-0.0451035305844012,-0.0985986774203572,-0.125162792079686
2017-05-09,-0.120304285697762,-0.0524956743116801,-0.0518364625341963,-0.0699712275604627,-0.0633752563496423,-0.0610559145737004,-0.034149892919333,-0.0468891925799928,-0.0930984380237272,-0.114332038097972
2017-05-10,-0.142664009853704,-0.0601083292502911,-0.0603929565655674,-0.0794495625079451,-0.0718098246712875,-0.0701126786263282,-0.0305525996250514,-0.0511055837687558,-0.112129489591903,-0.128490674249335
2017-05-11,-0.147696218199332,-0.055421665496143,-0.0579395617198055,-0.0782453738606811,-0.0691600549108916,-0.0632460572958716,-0.0245610026219756,-0.0457195996091497,-0.114120991992054,-0.128460400388627
2017-05-12,-0.152158227392528,-0.0582312893425504,-0.059473938264491,-0.080704883338556,-0.0624670679073813,-0.0596339829393763,-0.00948339415693178,-0.0375509280410338,-0.115456906645572,-0.129525591783899
2017-05-15,-0.149117245534502,-0.0738473263285336,-0.0685201547428548,-0.0927335484667262,-0.0604253921826472,-0.0527729839122902,-0.00685558120450747,-0.0336233813973307,-0.110973084698739,-0.129705553066995
2017-05-16,-0.129766759051961,-0.0662772315749015,-0.0583560157474297,-0.0817908458364031,-0.0535125791852452,-0.0344090077477898,-0.007036550868321,-0.0252494482529025,-0.0926861689690679,-0.112799283742881
2017-05-17,-0.12389117436871,-0.0662218574606718,-0.0580460149374242,-0.0811069348248017,-0.0561039719182175,-0.0404831398622078,-0.0144412957761515,-0.0305609469097469,-0.090737809250817,-0.105208393483945
2017-05-18,-0.122938583072915,-0.0705792154207132,-0.061558234640586,-0.0837512486476283,-0.060452452367234,-0.0444877532176826,-0.0181132286322364,-0.0339307051701749,-0.0984840325313924,-0.109857673610781
2017-05-19,-0.127015492433795,-0.0668918288227441,-0.0610427758198278,-0.0836188391456494,-0.0603031652814789,-0.0443753071502667,-0.0152327253197411,-0.0322999843921596,-0.0986834542987761,-0.115749303280734
2017-05-22,-0.143889375499314,-0.0718211448211126,-0.0661966998775507,-0.0899911631725241,-0.0648501884331392,-0.044639044290206,-0.00693856038215479,-0.0301990383409856,-0.111681318585173,-0.125044499772106
2017-05-23,-0.167112379762873,-0.0894671619876892,-0.0818044712574328,-0.108904890351071,-0.0690241458939209,-0.0485577897396543,0,-0.0265159860956597,-0.130377033853127,-0.141553845144718
2017-05-24,-0.156921310500507,-0.0880479420579245,-0.0777674896086102,-0.105159331865873,-0.0683771338399771,-0.0442166048596637,-0.00175346287149136,-0.0265236620825857,-0.125191766204075,-0.134155810591031
2017-05-25,-0.149940879798337,-0.0819406354517367,-0.073816420625791,-0.0997676447508798,-0.0550732525277708,-0.0339472121936516,0,-0.00904202830278478,-0.117415373215877,-0.13086212667144
2017-05-26,-0.151905951818413,-0.0816879063725703,-0.0756182358775994,-0.0976901055187492,-0.0543961398190617,-0.0392122437411626,-0.000922176919702533,-0.0105269053292097,-0.119507189893872,-0.139591089842167
2017-05-31,-0.153414245241212,-0.091390119919603,-0.0814803006517646,-0.101180336108332,-0.0522316290991239,-0.0360663094459553,0,-0.00698770676478977,-0.121442425789307,-0.139205939058719
2017-06-01,-0.17760237767522,-0.105622921261066,-0.0950402065240423,-0.116057348547556,-0.056656729396634,-0.0423229108606803,0,-0.00560773489301736,-0.138654998230547,-0.157927518771196
2017-06-02,-0.161392766763511,-0.0995151107660519,-0.088711938104114,-0.109428054609081,-0.0557698242456214,-0.0398631531359549,-0.0084059431640473,-0.00880066115833966,-0.129224249324878,-0.14328506147556
2017-06-05,-0.150923337333653,-0.0775280901888249,-0.0729377704891832,-0.0920340888304351,-0.0599912130411847,-0.0391877100537263,-0.018467438536673,-0.0138480490057739,-0.122694770352711,-0.135167742416539
2017-06-06,-0.147834532846449,-0.0803148247652069,-0.0743243606670796,-0.093658477163872,-0.0568078407644957,-0.0297450515424663,-0.0121941254133873,-0.00698855965222578,-0.118814795103939,-0.132494112014407
2017-06-07,-0.129482317446121,-0.0750215998784591,-0.0655521746697304,-0.0834130701404786,-0.0451938527773935,-0.0120355626021759,-0.00497306573179168,0,-0.101694692816563,-0.114902195807968
2017-06-08,-0.133441282216911,-0.073588514913238,-0.0657142125350794,-0.0858275883398191,-0.0421506461759247,-0.00477998010215741,0,0,-0.101097030908564,-0.11816448461275
2017-06-09,-0.132390411362542,-0.0741461953042798,-0.065635918569869,-0.0848921668832188,-0.0396978988830833,-0.00103859276813356,0,0,-0.0995437435116272,-0.116542590556687
2017-06-12,-0.148765505705326,-0.0818349132633389,-0.0738013144630705,-0.0951409424790539,-0.0453300658413817,-0.000271659476507646,0,-0.000498018830201175,-0.10956295256447,-0.130034080518379
2017-06-13,-0.133423362390346,-0.0696479263326241,-0.063027647779096,-0.0816088835475626,-0.0411141498921395,0,-0.00239016202014319,0,-0.0979172945737067,-0.116960257709043
2017-06-14,-0.132035063787838,-0.0648592570893561,-0.0603803763896364,-0.0764639118173053,-0.0481279064994612,-0.0118864240241775,-0.0173931288989865,-0.0131115296542664,-0.099972605905479,-0.118977954462508
2017-06-15,-0.113875430772583,-0.058265715520252,-0.0528007205000344,-0.067367826193535,-0.0475769733031518,-0.00832237316697726,-0.0234788003020823,-0.0149276980191593,-0.0917160620204714,-0.101697746895949
2017-06-16,-0.11932961927679,-0.0536136517327157,-0.0505332955149901,-0.0643326977445388,-0.0504106915093352,-0.0116899143902611,-0.0271219529995623,-0.0177278801384709,-0.0929478911826919,-0.10397557460068
2017-06-19,-0.116689299066395,-0.0540703160101282,-0.0498370774731794,-0.0626355502171848,-0.0439627664021965,-0.00278485846361931,-0.0146967595971396,-0.00798432947627847,-0.0862484059080736,-0.101596273399873
2017-06-20,-0.114097067507431,-0.0444834458795003,-0.0434374436546593,-0.0548397381154129,-0.0452884113999391,-0.000718844918907502,-0.0185402162807085,-0.00998613447852992,-0.0848164007357788,-0.099812918753368
2017-06-21,-0.115326626738581,-0.0512111584985439,-0.0470612245905541,-0.0588951649368759,-0.0403634578051153,0,-0.00948528618481648,0,-0.0831136224375737,-0.0986557845218727
2017-06-22,-0.133317498925923,-0.0612965326271615,-0.0574793526679666,-0.0707047492609967,-0.0430263015872778,-0.00623242133567237,-0.00178330043852737,0,-0.0960650253742327,-0.113784305469983
2017-06-23,-0.129267861110576,-0.0477916232395582,-0.0471527352158542,-0.0572457848608687,-0.0398581316614804,0,0,0,-0.0933530703560599,-0.110291598947592
2017-06-26,-0.118856660963306,-0.04320855130394,-0.0424915268125773,-0.0518258154127134,-0.0314755553798842,0,0,0,-0.0780680405348124,-0.104134792682921
2017-06-27,-0.118924881369988,-0.0443898192155383,-0.0436475565245125,-0.0539962170199856,-0.0297263728863035,-0.000927481255026286,0,0,-0.0778379965141921,-0.105333413316127
2017-06-28,-0.123777809980165,-0.0366582328648228,-0.0403719359960976,-0.0506476163584305,-0.0351976989721695,-0.0119674687527147,-0.0066790647352194,-0.00776903787096406,-0.0819039680104556,-0.112756676087071
