"Date","EW","Factor","MAXSER","MAXSER_Fac_Constraint","MAXSER_H","MAXSER_Stock_Long_Only","MAXSER_ALL_Long_Only","MAXSER_H_Stock_Long_Only","MAXSER_H_ALL_Long_Only","CYB_ETF","SSE50_ETF","SSE380_ETF","SSE_ETF","HS300_ETF","CSI500_ETF","SZ300_ETF","SZ_ETF","SZ100_ETF","Med_ETF","Bat_ETF","Tech_ETF","Gold_ETF","Bond_ETF","HSI_ETF","FinH_ETF","Brok_ETF","Insur_ETF","Bank_ETF","Bonus_ETF","Fin_ETF","NewE_ETF","SSE","SZ","SZ100","SSE50","CSI500","HS300","CSI100","CYB","SSE380","CYB50"
2019-11-12,-0.0952332615630876,-0.0326078762860735,-0.0268618347117451,-0.0240615116446043,-0.0194314515076043,-0.0255095870495403,-0.0239173603632568,-0.0188540912415351,-0.0199932028930135,-0.155217619297326,-0.0324186611116934,-0.173758865248227,-0.094413271529641,-0.0803637899446237,-0.254352441613589,-0.191212871287129,-0.1594317284925,-0.0934147243803172,-0.11033843300881,0,-0.019785655399835,-0.0931276297335204,-0.00311867835468682,-0.0856448598130847,-0.0519294902334436,-0.213768115942029,-0.0763802407638023,-0.0564448188711038,-0.0197309417040358,-0.0497925801011792,0,-0.181106430320288,-0.173138606241983,-0.11716015258014,-0.0660033401030202,-0.272466785974459,-0.110753926355701,-0.082501965557453,-0.160739418497513,-0.236202107072878,-0.253059512905684
2019-11-13,-0.100361673323627,-0.0351642066422118,-0.0253166469515975,-0.0222322752361631,-0.0162568736591899,-0.0246835120493345,-0.0232487733185033,-0.0148698360571061,-0.0169567834437082,-0.150498164656529,-0.0330600806270319,-0.176713947990544,-0.0973408148328856,-0.0810601323550645,-0.254352441613589,-0.19740099009901,-0.158642462509864,-0.0897151313355519,-0.098748261474272,0,-0.00412201154163228,-0.0835904628330996,-0.00300910316925163,-0.100392523364487,-0.0571700809909471,-0.220108695652174,-0.0834371108343709,-0.0606571187868578,-0.0206278026905828,-0.0566627318718369,0,-0.183798688847904,-0.171624369388627,-0.114043568961308,-0.0671632290680125,-0.273371579786987,-0.111598367610995,-0.0839185300620358,-0.15554199837816,-0.23667442390841,-0.24613933060396
2019-11-14,-0.102276659412328,-0.0349399943493784,-0.0225735535661188,-0.0192953107321863,-0.0124953936641355,-0.0227830695589812,-0.0214917732339133,-0.0110348485217522,-0.0134116312610338,-0.145254326166754,-0.0337015001423707,-0.166666666666667,-0.0970968528909487,-0.0803637899446237,-0.249964614295825,-0.189356435643564,-0.153117600631411,-0.0865704772475017,-0.085303662494207,0,0,-0.0810659186535765,-0.00351483479433612,-0.106537383177571,-0.0585993330157208,-0.219202898550725,-0.0838522208385222,-0.0648694187026118,-0.0206278026905828,-0.0597706576728486,0,-0.182498212512274,-0.166604531851218,-0.110712798223858,-0.066880957986559,-0.267922250028913,-0.110259835963811,-0.0842338107541936,-0.150124650714388,-0.232139507548974,-0.240257561879961
2019-11-15,-0.106004827561387,-0.0389935382852254,-0.0259222414922545,-0.0226642158734657,-0.0163569874268003,-0.0258712940644684,-0.0244741796721053,-0.0147998035131861,-0.0172612601772092,-0.153644467750393,-0.0369085977190637,-0.176713947990544,-0.101732129787753,-0.0847739585440815,-0.254493984430291,-0.196163366336634,-0.157063930544592,-0.0972992970773204,-0.094575799721838,0,-0.00651996740016303,-0.0833099579242638,-0.00268880647336511,-0.105922897196262,-0.0614578370652683,-0.228260869565218,-0.0888335408883354,-0.0657118786857627,-0.0233183856502241,-0.0597706576728486,0,-0.187702927265756,-0.175032834544677,-0.120485488118151,-0.0712398144303396,-0.274430774256701,-0.116813082802851,-0.0896729523464445,-0.15906184332422,-0.239244164862868,-0.247045321621296
2019-11-18,-0.0967855878971096,-0.0312475792190458,-0.0175087234284975,-0.0146229711461752,-0.00923917440374888,-0.0172447025222616,-0.016257661582937,-0.00778048591644998,-0.00974000604779468,-0.149973780807551,-0.0292115635350002,-0.171394799054374,-0.0929494998780187,-0.0782747627133016,-0.251804670912952,-0.193688118811881,-0.154696132596683,-0.0917499075101729,-0.0871580899397332,0,-0.00488997555012227,-0.0830294530154279,-1.68577208363718e-05,-0.0973200934579446,-0.0528823249166261,-0.218297101449276,-0.0809464508094644,-0.0564448188711038,-0.0107623318385651,-0.051264755480606,0,-0.182686162105823,-0.169279692176143,-0.114913402175167,-0.0629904577915155,-0.27085034820627,-0.109787841822734,-0.0829590566027779,-0.155191520236598,-0.236058219122626,-0.241953122413624
2019-11-19,-0.0920593661729072,-0.0256504667395604,-0.0127894695976625,-0.00983626091452039,-0.00468533422021133,-0.0130262279686783,-0.0121719885231045,-0.00254992870317872,-0.0043625415125722,-0.126376507603566,-0.0231180781392835,-0.160756501182033,-0.0866064893876551,-0.0689901972407587,-0.239773531493277,-0.181930693069307,-0.142067876874505,-0.0762116167221594,-0.06815020862309,0,0,-0.0771388499298737,0,-0.0819579439252344,-0.0514530728918524,-0.211956521739131,-0.0772104607721045,-0.0547598989048023,-0.00538116591928239,-0.0484839797639112,0,-0.17572163232396,-0.154360581445061,-0.100974329955659,-0.0567666633452147,-0.258532275698768,-0.100878724613514,-0.0764549082651907,-0.131799363816898,-0.225780773466051,-0.216467848905861
2019-11-20,-0.101277108331803,-0.0318720178886702,-0.015920854923735,-0.0126412860734745,-0.00686713691420715,-0.0160733576288092,-0.0151985046682741,-0.00465383028246003,-0.00730602317824924,-0.132144729942318,-0.0337015001423705,-0.159574468085107,-0.09368138570383,-0.0785068768501151,-0.244585987261147,-0.1875,-0.148382004735594,-0.0869404365519783,-0.0723226703755239,0,-0.00642054574638851,-0.0740532959326787,-0.000539197101815603,-0.0862593457943931,-0.0638399237732246,-0.223731884057971,-0.0888335408883354,-0.0699241786015167,-0.0170403587443945,-0.062060708263068,0,-0.182165578254036,-0.161261479264643,-0.110526793620847,-0.0670208361950746,-0.262830009049429,-0.109802648588743,-0.0858462714210583,-0.136526299668854,-0.230329353276801,-0.220422869376182
2019-11-21,-0.104978479286769,-0.0322916784896187,-0.0229994550539958,-0.0201851698569385,-0.0136294919857972,-0.0215935608513367,-0.0202855056620722,-0.0101582664027727,-0.0133036049514902,-0.134766649187205,-0.039474275780418,-0.166075650118204,-0.0941693095877041,-0.0831491595863867,-0.243453644727531,-0.189356435643564,-0.149960536700866,-0.0919348871624112,-0.0894761242466411,0,-0.0128410914927769,-0.0760168302945301,0,-0.0991635514018699,-0.0690805145307282,-0.22463768115942,-0.0979659609796595,-0.0749789385004215,-0.022421524663677,-0.0679494097807746,0,-0.184249037425569,-0.164220436083796,-0.11502975570389,-0.0729262112588449,-0.262913021757974,-0.113963577633582,-0.0910587363092545,-0.13977098412555,-0.231202464684197,-0.22473432723822
2019-11-22,-0.109927795157081,-0.0370090343336079,-0.0420018916972205,-0.0391922084070228,-0.0330479978189209,-0.0392062227733023,-0.0366457660069544,-0.0298780064890617,-0.0321447488958388,-0.153644467750393,-0.0484541489951588,-0.176122931442081,-0.0995364723103194,-0.0928979533325567,-0.251238499646144,-0.19740099009901,-0.161799526440409,-0.109507954125045,-0.118683356513679,0,-0.0369181380417336,-0.0779803646563815,-0.000252731607457202,-0.0979345794392532,-0.0743211052882318,-0.22554347826087,-0.10585305105853,-0.0783487784330247,-0.0304932735426009,-0.0720387858347376,0,-0.189404025604972,-0.176836083796494,-0.130662999718779,-0.0814352069993176,-0.269118258980574,-0.122985226264468,-0.100062264638786,-0.15654171468167,-0.237327570618116,-0.238442821041947
2019-11-25,-0.0985158680450062,-0.0307696057034774,-0.0500700435870722,-0.0478131456248894,-0.0417812239870486,-0.0468947117046741,-0.0434936836307391,-0.0388122797075551,-0.039373574136619,-0.161510225485055,-0.0397949855380872,-0.1725768321513,-0.0924615759941446,-0.0863987575017767,-0.250672328379335,-0.20049504950495,-0.163378058405681,-0.104698483166851,-0.124246638850257,0,-0.0609951845906903,-0.0844319775596072,-0.00112044345972717,-0.0807289719626176,-0.0671748451643632,-0.222826086956522,-0.0992112909921128,-0.0665543386689134,-0.022421524663677,-0.0645143338954457,0,-0.183537975510366,-0.176882855921333,-0.127305455591502,-0.0723255207948611,-0.269502770269707,-0.116558634223902,-0.0910930346272298,-0.165593892240525,-0.235249713910947,-0.245227270219272
